feature,importance
logp,0.06783789980012134
fp_bit_1683,0.05739260306399124
fp_bit_894,0.05329919017441126
tpsa,0.050550534196736864
fp_bit_1791,0.047873037559291655
fp_bit_1514,0.02950615646728739
fp_bit_1482,0.018283320994312412
fp_bit_1863,0.010864279183990333
fp_bit_90,0.008256006828265938
fp_bit_1647,0.007263112603125743
fp_bit_1261,0.007160526728879091
fp_bit_406,0.006318006516391195
fp_bit_1143,0.0046805951240531775
fp_bit_1911,0.004590950897472912
fp_bit_807,0.00403893700943434
fp_bit_45,0.003351115674243865
fp_bit_14,0.002750076226668852
hbd,0.002599758358389148
fp_bit_1238,0.002374095604503079
fp_bit_394,0.0023384425103432083
